,g,pattern,membership
780,CEP63,12,0.6719888261035157
781,CHCHD3,0,0.6152682610922448
782,CHKB,11,0.9948613254965213
783,CHMP1B,5,0.9994687038505494
784,CHP2,0,0.520600854959825
785,CIDEC,0,0.9407288287275333
786,CMTM2,0,0.9961881998385043
787,CNOT11,2,0.9772163151787385
788,COA3,3,0.9603748321637261
789,COMMD7,7,0.9304991965138306
790,COPG1,11,0.9285303654609638
792,COQ2,2,0.9941183870734921
793,COQ8B,5,0.9297963004347098
794,COX15,3,0.5230329026742091
795,COX7B,14,0.994276241595749
796,CPO,0,0.8105022794169937
797,CPS1,11,0.6989721250796422
798,CRABP2,0,0.5261938388097739
799,CRCP,4,0.9886526675833571
800,CREBL2,14,0.8551575708893665
801,CREBZF,5,0.6325937844295908
802,CRLS1,11,0.7906460071707734
803,CRPPA,0,0.8851868381787368
804,CSNK1G2,3,0.8910788776311784
805,CSRP1,13,0.9994503428564369
806,CSTF2T,13,0.5000868047876795
807,CXXC1,7,0.5218127327650859
808,CYBC1,2,0.5518239692734449
809,CYP26C1,0,0.9986820456681494
810,DACH2,0,0.9873449892900099
811,DAP3,13,0.6330550430699864
812,DAPK2,5,0.9999727830333902
814,DEDD2,8,0.9297109614674715
815,"DEFA3,DEFA1B,DEFA1",0,0.6561249246374397
816,"DENND2B,ST5",0,0.7557976503547812
817,DHX36,3,0.5658447149926373
818,DLG1,7,0.9981242107198197
819,DMAP1,14,0.8804662263446521
820,DMRTA1,0,0.5196757988777501
821,DNAH12,0,0.9881638654912085
822,DNAJB14,13,0.6623836973778884
823,DNAJC11,7,0.9997319480954486
824,DNAJC21,0,0.8699748349642744
825,DNTTIP2,11,0.9999943921268362
826,DOK3,12,0.767242236351295
827,DOLK,7,0.5108053927550686
828,DTHD1,0,0.8485852036880128
829,DUS3L,10,0.6383852880583107
830,EBI3,7,0.7371095117802462
831,ECHS1,11,0.8254725933085932
832,ECSIT,0,0.8687579461777275
833,ECT2L,0,0.6961938397239297
834,EGF,0,0.5651187226393153
835,EGR4,0,0.7832710159486463
836,EIF1AD,8,0.9769838217893801
837,EIF2B1,2,0.9675338570725868
838,"EIF2S3B,EIF2S3",11,0.6597065969146038
839,EIF6,3,0.48951891594879915
840,ELANE,0,0.9927823124021036
841,"ELL3,PDIA3",0,0.9924945092089812
842,ELOVL1,2,0.9312468775758714
843,ELOVL7,0,0.46753829353608506
844,EN1,2,0.7147850354350811
845,ENPP3,11,0.9999144940437602
846,ENTPD3,8,0.9973799649396767
847,ENTPD5,0,0.8213683292234895
848,EP300,11,0.5174012754518901
849,EPAS1,11,0.9985581007526696
850,EPOP,0,0.9889036915833066
851,EXOC3,5,0.8411597423643677
852,FAIM2,2,0.5320461964781705
853,FAM104A,0,0.9910750221439423
854,FAM13C,12,0.9880788830803726
855,FAM172A,13,0.38025154528751226
856,FAM180B,7,0.5420056634346737
858,FAM210A,0,0.6843096322158236
859,FAM216A,13,0.6940580577612692
860,FAM217B,7,0.6307783303921467
861,FAM222B,4,0.6493970130172411
862,FAM53C,11,0.9907472784898079
863,FBXL20,13,0.8187161681813776
864,FBXO33,0,0.8384615765647411
865,FGD6,8,0.9919656158325951
866,FGF4,6,0.6883348241014763
867,FGFR1OP,8,0.9984336038756737
868,FKBP8,3,0.9790334627283469
869,FLII,11,0.9940439382156455
870,FLYWCH1,8,0.525982210600376
871,FNIP1,12,0.8932799387619231
872,FOXC1,11,0.9831775592839775
873,FOXI1,0,0.8918063451578169
874,FOXO1,10,0.7638289198341026
875,FPR2,2,0.5444287339217138
876,FRMD4A,14,0.8279254420690443
877,FZR1,12,0.9507599837840888
879,GALK2,0,0.5826197949022429
880,GALNTL5,0,0.943302429886397
881,GAS8,4,0.9988054315711252
882,GATA1,7,0.6716313219569752
883,GATA4,14,0.7178595832938992
884,GATC,0,0.984737656906815
885,GEMIN8,8,0.832888816361864
886,GGPS1,1,0.6321794964461263
887,GINS3,10,0.8247667833438304
888,GLE1,11,0.9687955950948056
889,GMPPA,0,0.9850274969565401
890,GMPS,11,0.9987631211394296
891,GNE,12,0.8929040869168752
892,GOLGA2,13,0.9945850412673731
893,GOLM1,2,0.9999620938638922
894,GON7,0,0.9891417911881969
895,GPALPP1,13,0.5164218810548243
896,GPAT2,14,0.999543011528461
897,GPBP1,13,0.7656776421336484
898,GPR142,8,0.9320077310496206
899,GPR174,0,0.9994938280399823
900,GPR4,0,0.9974675045244875
901,GRAMD1A,13,0.5118866384751848
902,GRAMD4,14,0.8930555331702377
903,GRK7,0,0.9991258951587271
904,GRSF1,3,0.7560870173025374
905,GSC,0,0.8847727856125986
906,GTF2H1,14,0.8246329970736662
907,GTPBP1,3,0.8578965586508734
908,GTPBP6,14,0.9851183195120763
909,HGFAC,2,0.9091126733798417
910,HIKESHI,11,0.9996029287371226
911,HIPK3,12,0.7122510738589473
912,HLF,8,0.7857699592378922
913,HNF1B,0,0.5196752426216468
914,HNF4G,0,0.9779796327139736
915,HOXD8,14,0.8042133119621893
916,HS1BP3,8,0.8427751085983893
917,HSD17B11,2,0.8275818954535882
918,HSD17B7,11,0.9964377513028397
919,HSH2D,10,0.9899192445790372
921,ICAM4,10,0.8667316658584497
922,ICMT,7,0.5823025091426203
923,IFNGR1,0,0.9312396078284205
924,IK,13,0.9957264541172295
925,INO80D,14,0.9830730097473163
926,INTS14,10,0.7346728551944305
927,ITPKB,10,0.9972245347093637
928,IVD,8,0.8182191576522613
929,JADE3,0,0.981490939102594
930,KATNA1,2,0.9926161047253057
931,KCNMB2,10,0.9351284082365287
932,KCNT1,8,0.5621892638574023
933,KCTD18,0,0.9841332293951015
934,KIAA0319L,2,0.9765443185386335
935,KIAA0355,8,0.966223828518548
936,KIAA0408,0,0.991381535132258
937,KIF24,0,0.998935959445626
938,KIRREL2,0,0.9966338492386223
939,KIZ,14,0.9173585319640267
940,KLHL41,0,0.9275029010939201
941,KLK12,0,0.9986357958935193
942,KRBOX4,0,0.9413550515206424
943,KRT81,14,0.9954676181017104
944,KYAT3,14,0.48041136380352295
945,LAMTOR2,9,0.8438256499424133
947,LCE3C,0,0.9940634867152763
948,LCE3D,0,0.8076372792217887
949,LDAH,14,0.9296330783296232
950,LECT2,0,0.9963397803499484
951,LHPP,12,0.9980295965500382
952,LIAS,10,0.6363463865936144
953,LIN54,2,0.9688101756048711
954,LIN7B,0,0.7545773534422116
955,LIPA,0,0.8960359056439474
956,LMAN1L,8,0.9977297804705126
957,LMLN,0,0.8887271134707078
958,"LOC105377134,ZNF519",9,0.747427796062826
959,LPAR6,7,0.6673971907196072
960,LRCH3,2,0.9963766798766194
961,LRRC26,0,0.6270125955315643
962,LRRC39,0,0.9915766808526433
963,LRRCC1,10,0.9472280216184054
964,LRWD1,8,0.9978022771232365
965,LSG1,14,0.4654559170175815
966,LY6D,0,0.9983317342445853
967,LYPLAL1,0,0.7550916646942769
968,MAEA,11,0.9777491000938995
970,MAFG,12,0.5730065866871797
971,MALT1,0,0.8379380835227087
972,MANBAL,8,0.6260005488341396
973,MAP3K12,8,0.9951582997434758
974,MAPK7,2,0.9822299983727077
975,MCM3AP,0,0.9392456432982912
976,MCMBP,11,0.9794215821285044
977,MED15,13,0.8468516394980162
978,MED8,13,0.6950821316303345
979,MEN1,11,0.9995481303489373
980,MEOX2,0,0.9932774643730699
981,METTL14,0,0.8043196936962955
982,MFN1,0,0.5323836101596069
983,MGMT,14,0.8122617316413349
984,MKNK2,11,0.9996476562366634
985,MLF1,13,0.9995234236214847
986,MMAA,0,0.9699892705500759
987,MMP24OS,14,0.8706528109391635
988,MOCOS,10,0.5421072327338554
989,MOGAT1,0,0.9919533305649956
990,MON2,10,0.6759189993390978
991,MORC2,11,0.8701080863179467
992,MOSPD3,7,0.9986705012929915
993,"MOV10,RHOC",10,0.9844802577380131
994,MPZL3,0,0.8063512461444443
995,MROH8,0,0.99097624952855
996,MRPL39,13,0.5653450292780499
997,MRPL40,10,0.9918065613314496
998,MRPL46,7,0.9774256117182784
999,MRPS28,8,0.8222961781339765
1000,MRPS31,10,0.9586159312350394
1002,MS4A10,10,0.9899468759712161
1003,MTF2,4,0.5933292884752963
1004,MTHFSD,5,0.567900502955747
1006,MXD4,14,0.3833757794705477
1007,MYO7A,8,0.6102353068929105
1008,MYPOP,0,0.6998135692546418
1009,MYSM1,7,0.9878190554015474
1010,N4BP1,8,0.5808806820303903
1011,N4BP2,13,0.935718148132253
1012,NABP1,13,0.3849615286874181
