"","x"
"1215","ATP5PF"
"1216","ATP5PO"
"1217","ATP6AP1"
"1218","ATP6AP1L"
"1219","ATP6AP2"
"1220","ATP6V0A1"
"1221","ATP6V0A2"
"1222","ATP6V0A4"
"1223","ATP6V0B"
"1224","ATP6V0C"
"1225","ATP6V0D1"
"1226","ATP6V0D2"
"1227","ATP6V0E1"
"1228","ATP6V0E2"
"1229","ATP6V1A"
"1230","ATP6V1B1"
"1231","ATP6V1B2"
"1232","ATP6V1C1"
"1233","ATP6V1C2"
"1234","ATP6V1D"
"1235","ATP6V1E1"
"1236","ATP6V1E2"
"1237","ATP6V1F"
"1238","ATP6V1FNB"
"1239","ATP6V1G1"
"1240","ATP6V1G2"
"1241","ATP6V1G3"
"1242","ATP6V1H"
"1243","ATP7A"
"1244","ATP7B"
"1245","ATP8A1"
"1246","ATP8A2"
"1247","ATP8B1"
"1248","ATP8B2"
"1249","ATP8B3"
"1250","ATP8B4"
"1251","ATP9A"
"1252","ATP9B"
"1253","ATPAF1"
"1254","ATPAF2"
"1255","ATPSCKMT"
"1256","ATR"
"1257","ATRAID"
"1258","ATRIP,ATRIP-TREX1,TREX1"
"1259","ATRN"
"1260","ATRNL1"
"1261","ATRX"
"1262","ATXN1"
"1263","ATXN10"
"1264","ATXN1L"
"1265","ATXN2"
"1266","ATXN2L"
"1267","ATXN3"
"1268","ATXN3L"
"1269","ATXN7"
"1270","ATXN7L1"
"1271","ATXN7L2"
"1272","ATXN7L3"
"1273","ATXN7L3B"
"1274","AUH"
"1275","AUP1"
